country,year,children_per_woman_total_fertility,government_health_spending_per_person_us,life_expectancy_years
Papua New Guinea,1998,4.6,23.4,55.3
Paraguay,1998,3.8,49.7,74.5
Peru,1998,3.06,57,73.1
Philippines,1998,3.89,13.4,69.4
Poland,1998,1.48,174,73.2
Portugal,1998,1.46,626,76
Qatar,1998,3.41,424,73
Romania,1998,1.31,52.9,69.9
Russia,1998,1.23,79,67.4
Rwanda,1998,5.84,7.29,47.7
Samoa,1998,4.59,54.1,71.5
Sao Tome and Principe,1998,5.38,14.7,63.8
Saudi Arabia,1998,4.33,147,74.3
Senegal,1998,5.67,8.06,59.7
Serbia,1998,1.82,82.2,71.7
Seychelles,1998,2.18,348,71.2
Sierra Leone,1998,6.46,2.11,48.9
Singapore,1998,1.48,379,78.6
Slovak Republic,1998,1.38,215,72.8
Slovenia,1998,1.22,647,75.3
Solomon Islands,1998,4.87,39.9,61.4
South Africa,1998,2.92,104,59.3
Spain,1998,1.2,799,78.9
Sri Lanka,1998,2.24,15.8,71.2
St. Lucia,1998,2.5,133,72.9
St. Vincent and the Grenadines,1998,2.51,99.5,71
Sudan,1998,5.61,3.22,62.1
Suriname,1998,2.94,95,69.8
Sweden,1998,1.52,2000,79.5
Switzerland,1998,1.47,2110,79.8
Syria,1998,4.23,21.7,71.4
Tajikistan,1998,4.19,2.5,66.6
Tanzania,1998,5.74,4.06,52.8
Thailand,1998,1.74,37.1,71.4
Timor-Leste,1998,6.99,24.7,63.7
Togo,1998,5.52,6.01,56.9
Tonga,1998,4.3,62.5,70.7
Trinidad and Tobago,1998,1.8,68.5,70
Tunisia,1998,2.29,64,73.6
Turkey,1998,2.61,111,72.3
Turkmenistan,1998,3.01,22.8,65.1
Uganda,1998,6.94,4.26,47.9
Ukraine,1998,1.22,29.7,68.8
United Arab Emirates,1998,2.91,565,72.2
United Kingdom,1998,1.71,1330,77.4
United States,1998,2,1840,76.8
Uruguay,1998,2.29,288,74
Uzbekistan,1998,3.03,18.2,67.3
Vanuatu,1998,4.54,44.8,63.2
Venezuela,1998,2.92,57.1,73.7
Vietnam,1998,2.21,6.12,71.1
Yemen,1998,6.74,10.1,62.2
Zambia,1998,6.09,13.6,45.5
Albania,1999,2.25,28.1,74.6
